Condition,Size,Experiment,Run,Precision,Recall,F1,MCC,Accuracy,Path
tsp_liver_tenh,2000,lr5e-6_bs20_ep10,DNA2_tsp_liver_tenh_2000_lr5e-6_bs20_ep10,74.93,74.79,74.76,49.72,74.79,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,2000,lr3e-6_bs20_ep10,DNA2_tsp_liver_tenh_2000_lr3e-6_bs20_ep10,71.67,71.49,71.43,43.15,71.49,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,2000,lr1e-4_bs35_ep10,DNA2_tsp_liver_tenh_2000_lr1e-4_bs35_ep10,70.44,67.36,66.08,37.67,67.36,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr1e-4_bs35_ep10/results/DNA2_tsp_liver_tenh_2000_lr1e-4_bs35_ep10/eval_results.json
tsp_liver_tenh,2000,lr7e-6_bs20_ep10,DNA2_tsp_liver_tenh_2000_lr7e-6_bs20_ep10,71.74,70.66,70.29,42.39,70.66,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,2000,lr3e-5_bs35_ep10,DNA2_tsp_liver_tenh_2000_lr3e-5_bs35_ep10,72.46,70.25,69.5,42.65,70.25,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr3e-5_bs35_ep10/results/DNA2_tsp_liver_tenh_2000_lr3e-5_bs35_ep10/eval_results.json
tsp_liver_tenh,2000,lr1e-5_bs35_ep10,DNA2_tsp_liver_tenh_2000_lr1e-5_bs35_ep10,75.64,75.62,75.62,51.26,75.62,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr1e-5_bs35_ep10/results/DNA2_tsp_liver_tenh_2000_lr1e-5_bs35_ep10/eval_results.json
tsp_liver_tenh,3000,lr5e-6_bs20_ep10,DNA2_tsp_liver_tenh_3000_lr5e-6_bs20_ep10,79.31,78.51,78.36,57.82,78.51,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,3000,lr3e-6_bs20_ep10,DNA2_tsp_liver_tenh_3000_lr3e-6_bs20_ep10,77.81,77.69,77.66,55.49,77.69,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,3000,lr7e-6_bs20_ep10,DNA2_tsp_liver_tenh_3000_lr7e-6_bs20_ep10,79.63,79.34,79.29,58.97,79.34,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,4000,lr5e-6_bs20_ep10,DNA2_tsp_liver_tenh_4000_lr5e-6_bs20_ep10,70.98,70.66,70.55,41.64,70.66,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/4000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_4000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,4000,lr3e-6_bs20_ep10,DNA2_tsp_liver_tenh_4000_lr3e-6_bs20_ep10,65.73,65.7,65.69,31.43,65.7,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/4000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_4000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,4000,lr7e-6_bs20_ep10,DNA2_tsp_liver_tenh_4000_lr7e-6_bs20_ep10,67.63,67.36,67.23,34.98,67.36,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/4000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_tenh_4000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_wide,2000,lr5e-6_bs20_ep10,DNA2_tsp_liver_wide_2000_lr5e-6_bs20_ep10,79.57,78.1,77.82,57.65,78.1,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_wide_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_wide,2000,lr3e-6_bs20_ep10,DNA2_tsp_liver_wide_2000_lr3e-6_bs20_ep10,77.74,76.03,75.66,53.74,76.03,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_wide_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_wide,2000,lr7e-6_bs20_ep10,DNA2_tsp_liver_wide_2000_lr7e-6_bs20_ep10,77.7,77.27,77.19,54.97,77.27,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_wide_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_wide,3000,lr5e-6_bs20_ep10,DNA2_tsp_liver_wide_3000_lr5e-6_bs20_ep10,84.77,84.71,84.7,69.48,84.71,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_wide_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_wide,3000,lr3e-6_bs20_ep10,DNA2_tsp_liver_wide_3000_lr3e-6_bs20_ep10,81.69,80.99,80.89,62.68,80.99,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_wide_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_wide,3000,lr7e-6_bs20_ep10,DNA2_tsp_liver_wide_3000_lr7e-6_bs20_ep10,84.3,84.3,84.3,68.6,84.3,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_wide_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_wide,4000,lr5e-6_bs20_ep10,DNA2_tsp_liver_wide_4000_lr5e-6_bs20_ep10,79.8,79.75,79.74,59.56,79.75,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/4000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_wide_4000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_wide,4000,lr3e-6_bs20_ep10,DNA2_tsp_liver_wide_4000_lr3e-6_bs20_ep10,75.27,75.21,75.19,50.48,75.21,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/4000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_wide_4000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_wide,4000,lr7e-6_bs20_ep10,DNA2_tsp_liver_wide_4000_lr7e-6_bs20_ep10,80.83,80.58,80.54,61.41,80.58,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_wide/4000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_wide_4000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_low,2000,lr5e-6_bs20_ep10,DNA2_tsp_testis_low_2000_lr5e-6_bs20_ep10,65.65,65.46,65.35,31.11,65.46,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_low_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_testis_low,2000,lr1e-4_bs8_ep10,DNA2_tsp_testis_low_2000_lr1e-4_bs8_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr1e-4_bs8_ep10/results/DNA2_tsp_testis_low_2000_lr1e-4_bs8_ep10/eval_results.json
tsp_testis_low,2000,lr1e-5_bs8_ep10,DNA2_tsp_testis_low_2000_lr1e-5_bs8_ep10,66.21,66.13,66.09,32.34,66.13,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr1e-5_bs8_ep10/results/DNA2_tsp_testis_low_2000_lr1e-5_bs8_ep10/eval_results.json
tsp_testis_low,2000,lr3e-5_bs8_ep10,DNA2_tsp_testis_low_2000_lr3e-5_bs8_ep10,65.15,64.92,64.79,30.08,64.92,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr3e-5_bs8_ep10/results/DNA2_tsp_testis_low_2000_lr3e-5_bs8_ep10/eval_results.json
tsp_testis_low,2000,lr3e-6_bs20_ep10,DNA2_tsp_testis_low_2000_lr3e-6_bs20_ep10,63.97,63.67,63.47,27.64,63.67,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_testis_low_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_testis_low,2000,lr3e-4_bs8_ep10,DNA2_tsp_testis_low_2000_lr3e-4_bs8_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr3e-4_bs8_ep10/results/DNA2_tsp_testis_low_2000_lr3e-4_bs8_ep10/eval_results.json
tsp_testis_low,2000,lr7e-6_bs20_ep10,DNA2_tsp_testis_low_2000_lr7e-6_bs20_ep10,64.99,64.95,64.92,29.94,64.95,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_testis_low_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_low,3000,lr5e-6_bs20_ep10,DNA2_tsp_testis_low_3000_lr5e-6_bs20_ep10,66.75,66.71,66.7,33.46,66.71,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_low_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_testis_low,3000,lr3e-6_bs20_ep10,DNA2_tsp_testis_low_3000_lr3e-6_bs20_ep10,64.73,64.6,64.52,29.33,64.6,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_testis_low_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_testis_low,3000,lr7e-6_bs20_ep10,DNA2_tsp_testis_low_3000_lr7e-6_bs20_ep10,65.85,65.78,65.75,31.64,65.78,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_testis_low_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_low,4000,lr5e-6_bs10_ep10,DNA2_tsp_testis_low_4000_lr5e-6_bs10_ep10,67.26,66.2,65.68,33.44,66.2,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/4000/lr5e-6_bs10_ep10/results/DNA2_tsp_testis_low_4000_lr5e-6_bs10_ep10/eval_results.json
tsp_testis_low,4000,lr3e-6_bs10_ep10,DNA2_tsp_testis_low_4000_lr3e-6_bs10_ep10,67.32,66.64,66.31,33.96,66.64,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/4000/lr3e-6_bs10_ep10/results/DNA2_tsp_testis_low_4000_lr3e-6_bs10_ep10/eval_results.json
tsp_testis_low,4000,lr7e-6_bs10_ep10,DNA2_tsp_testis_low_4000_lr7e-6_bs10_ep10,64.79,64.71,64.67,29.51,64.71,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_low/4000/lr7e-6_bs10_ep10/results/DNA2_tsp_testis_low_4000_lr7e-6_bs10_ep10/eval_results.json
tsp_testis_null,2000,lr5e-6_bs20_ep10,DNA2_tsp_testis_null_2000_lr5e-6_bs20_ep10,69.17,68.9,68.79,38.06,68.9,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_null_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_testis_null,2000,lr1e-4_bs8_ep10,DNA2_tsp_testis_null_2000_lr1e-4_bs8_ep10,57.11,56.44,55.38,13.53,56.44,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr1e-4_bs8_ep10/results/DNA2_tsp_testis_null_2000_lr1e-4_bs8_ep10/eval_results.json
tsp_testis_null,2000,lr1e-5_bs8_ep10,DNA2_tsp_testis_null_2000_lr1e-5_bs8_ep10,70.48,70.39,70.35,40.86,70.39,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr1e-5_bs8_ep10/results/DNA2_tsp_testis_null_2000_lr1e-5_bs8_ep10/eval_results.json
tsp_testis_null,2000,lr3e-5_bs8_ep10,DNA2_tsp_testis_null_2000_lr3e-5_bs8_ep10,71.22,71.22,71.22,42.45,71.22,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr3e-5_bs8_ep10/results/DNA2_tsp_testis_null_2000_lr3e-5_bs8_ep10/eval_results.json
tsp_testis_null,2000,lr3e-6_bs20_ep10,DNA2_tsp_testis_null_2000_lr3e-6_bs20_ep10,68.09,68.01,67.98,36.1,68.01,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_testis_null_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_testis_null,2000,lr3e-4_bs8_ep10,DNA2_tsp_testis_null_2000_lr3e-4_bs8_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr3e-4_bs8_ep10/results/DNA2_tsp_testis_null_2000_lr3e-4_bs8_ep10/eval_results.json
tsp_testis_null,2000,lr7e-6_bs20_ep10,DNA2_tsp_testis_null_2000_lr7e-6_bs20_ep10,69.67,69.25,69.08,38.92,69.25,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_testis_null_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_null,3000,lr5e-6_bs20_ep10,DNA2_tsp_testis_null_3000_lr5e-6_bs20_ep10,67.05,67.04,67.03,34.09,67.04,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_null_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_testis_null,3000,lr3e-6_bs20_ep10,DNA2_tsp_testis_null_3000_lr3e-6_bs20_ep10,69.08,68.83,68.73,37.91,68.83,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_testis_null_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_testis_null,3000,lr7e-6_bs20_ep10,DNA2_tsp_testis_null_3000_lr7e-6_bs20_ep10,69.82,69.46,69.31,39.28,69.46,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_testis_null_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_null,4000,lr5e-6_bs10_ep10,DNA2_tsp_testis_null_4000_lr5e-6_bs10_ep10,69.04,69.04,69.03,38.08,69.04,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/4000/lr5e-6_bs10_ep10/results/DNA2_tsp_testis_null_4000_lr5e-6_bs10_ep10/eval_results.json
tsp_testis_null,4000,lr3e-6_bs10_ep10,DNA2_tsp_testis_null_4000_lr3e-6_bs10_ep10,68.7,68.5,68.42,37.2,68.5,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/4000/lr3e-6_bs10_ep10/results/DNA2_tsp_testis_null_4000_lr3e-6_bs10_ep10/eval_results.json
tsp_testis_null,4000,lr1e-5_bs8_ep10,DNA2_tsp_testis_null_4000_lr1e-5_bs8_ep10,69.86,69.53,69.4,39.38,69.53,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/4000/lr1e-5_bs8_ep10/results/DNA2_tsp_testis_null_4000_lr1e-5_bs8_ep10/eval_results.json
tsp_testis_null,4000,lr3e-5_bs8_ep10,DNA2_tsp_testis_null_4000_lr3e-5_bs8_ep10,52.4,52.21,51.24,4.6,52.21,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/4000/lr3e-5_bs8_ep10/results/DNA2_tsp_testis_null_4000_lr3e-5_bs8_ep10/eval_results.json
tsp_testis_null,4000,lr7e-6_bs10_ep10,DNA2_tsp_testis_null_4000_lr7e-6_bs10_ep10,69.42,69.25,69.18,38.67,69.25,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_null/4000/lr7e-6_bs10_ep10/results/DNA2_tsp_testis_null_4000_lr7e-6_bs10_ep10/eval_results.json
tsp_testis_tenh,2000,lr5e-6_bs20_ep10,DNA2_tsp_testis_tenh_2000_lr5e-6_bs20_ep10,74.9,74.69,74.63,49.59,74.69,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_tenh_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_testis_tenh,2000,lr1e-4_bs8_ep10,DNA2_tsp_testis_tenh_2000_lr1e-4_bs8_ep10,63.5,61.3,59.65,24.7,61.3,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr1e-4_bs8_ep10/results/DNA2_tsp_testis_tenh_2000_lr1e-4_bs8_ep10/eval_results.json
tsp_testis_tenh,2000,lr1e-5_bs8_ep10,DNA2_tsp_testis_tenh_2000_lr1e-5_bs8_ep10,74.8,74.73,74.72,49.53,74.73,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr1e-5_bs8_ep10/results/DNA2_tsp_testis_tenh_2000_lr1e-5_bs8_ep10/eval_results.json
tsp_testis_tenh,2000,lr3e-5_bs8_ep10,DNA2_tsp_testis_tenh_2000_lr3e-5_bs8_ep10,74.67,74.64,74.63,49.31,74.64,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr3e-5_bs8_ep10/results/DNA2_tsp_testis_tenh_2000_lr3e-5_bs8_ep10/eval_results.json
tsp_testis_tenh,2000,lr3e-6_bs20_ep10,DNA2_tsp_testis_tenh_2000_lr3e-6_bs20_ep10,74.63,74.38,74.32,49.02,74.38,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_testis_tenh_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_testis_tenh,2000,lr3e-4_bs8_ep10,DNA2_tsp_testis_tenh_2000_lr3e-4_bs8_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr3e-4_bs8_ep10/results/DNA2_tsp_testis_tenh_2000_lr3e-4_bs8_ep10/eval_results.json
tsp_testis_tenh,2000,lr7e-6_bs20_ep10,DNA2_tsp_testis_tenh_2000_lr7e-6_bs20_ep10,74.82,74.78,74.77,49.6,74.78,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_testis_tenh_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_tenh,3000,lr5e-6_bs20_ep10,DNA2_tsp_testis_tenh_3000_lr5e-6_bs20_ep10,73.12,73.01,72.98,46.13,73.01,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_tenh_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_testis_tenh,3000,lr3e-6_bs20_ep10,DNA2_tsp_testis_tenh_3000_lr3e-6_bs20_ep10,72.15,72.11,72.09,44.26,72.11,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_testis_tenh_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_testis_tenh,3000,lr7e-6_bs20_ep10,DNA2_tsp_testis_tenh_3000_lr7e-6_bs20_ep10,73.04,72.99,72.97,46.03,72.99,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_testis_tenh_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_testis_tenh,4000,lr5e-6_bs10_ep10,DNA2_tsp_testis_tenh_4000_lr5e-6_bs10_ep10,74.25,73.64,73.47,47.89,73.64,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/4000/lr5e-6_bs10_ep10/results/DNA2_tsp_testis_tenh_4000_lr5e-6_bs10_ep10/eval_results.json
tsp_testis_tenh,4000,lr3e-6_bs10_ep10,DNA2_tsp_testis_tenh_4000_lr3e-6_bs10_ep10,73.88,73.83,73.81,47.7,73.83,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/4000/lr3e-6_bs10_ep10/results/DNA2_tsp_testis_tenh_4000_lr3e-6_bs10_ep10/eval_results.json
tsp_testis_tenh,4000,lr7e-6_bs10_ep10,DNA2_tsp_testis_tenh_4000_lr7e-6_bs10_ep10,74.01,73.99,73.98,48.0,73.99,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_tenh/4000/lr7e-6_bs10_ep10/results/DNA2_tsp_testis_tenh_4000_lr7e-6_bs10_ep10/eval_results.json
tsp_testis_wide,2000,lr5e-6_bs20_ep10,DNA2_tsp_testis_wide_2000_lr5e-6_bs20_ep10,75.3,74.92,74.82,50.22,74.92,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_testis_wide/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_testis_wide_2000_lr5e-6_bs20_ep10/eval_results.json
